timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-04-13T02:20:36,codecarbon,6281651b-b8c1-4ac1-883b-615d26490501,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,22.062032300047576,3.2978639057017206e-05,1.4948141951975154e-06,12.88946760225,0.0,10.0,8.039758432887959e-05,0.0,5.840782777781392e-05,0.0001388054121066,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.4,3.2.6,8,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,0,,0.0715,51.5564,15.818809509277344,machine,55.0,0,92.365,14.61180763244629,N,1.0,0.0
2026-04-13T02:21:03,codecarbon,e85c61df-08e1-4d44-8cf3-243084c57601,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,22.554181599989533,3.3991842416235816e-05,1.5071193013827462e-06,13.49106193037143,0.0,10.0,8.335360399582544e-05,0.0,5.971632944484656e-05,0.0001430699334406,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.4,3.2.6,8,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,0,,0.0715,51.5564,15.818809509277344,machine,75.0,0,92.23,14.5910005569458,N,1.0,0.0
2026-04-13T02:21:35,codecarbon,a668cb17-6430-4780-9167-9a44b2457edb,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,22.520806199871004,3.3939848367203766e-05,1.5070441113870146e-06,13.607643834985716,0.0,10.0,8.336922258077569e-05,0.0,5.9481870555706944e-05,0.0001428510931364,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.4,3.2.6,8,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,0,,0.0715,51.5564,15.818809509277344,machine,90.0,0,92.345,14.608646774291993,N,1.0,0.0
2026-04-13T02:22:10,codecarbon,1bb008f0-7335-41ed-ae96-00ffa6852c3a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,24.064830699935555,3.5964056356940195e-05,1.4944653800135191e-06,13.12820122725,0.0,10.0,8.75068259120108e-05,0.0,6.386405555531383e-05,0.0001513708814673,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.4,3.2.6,8,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,0,,0.0715,51.5564,15.818809509277344,machine,59.09090909090909,0,92.45454545454544,14.625856919722125,N,1.0,0.0
2026-04-13T02:22:37,codecarbon,4af178de-c14b-43a3-955c-27eabb581c2b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,22.43684590002522,3.39999477404074e-05,1.51536218111518e-06,13.651324356428573,0.0,10.0,8.374863028176054e-05,0.0,5.935541805552526e-05,0.0001431040483372,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.4,3.2.6,8,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,0,,0.0715,51.5564,15.818809509277344,machine,70.0,0,92.325,14.603498840332032,N,1.0,0.0
2026-04-13T02:23:12,codecarbon,67ab2dd6-77db-489d-8cf7-6a7a0f7df15d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,25.39398030005396,3.876032134781726e-05,1.5263586444435774e-06,13.86344389245,0.0,10.0,9.545215783741776e-05,0.0,6.76880605557623e-05,0.0001631402183931,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.4,3.2.6,8,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,0,,0.0715,51.5564,15.818809509277344,machine,69.56521739130434,0,92.16521739130437,14.579549872356912,N,1.0,0.0
2026-04-13T02:23:45,codecarbon,99818f49-d540-46fa-a393-c2df7fe01771,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,23.05866670003161,3.445479685035616e-05,1.494223291336655e-06,13.1530353126,0.0,10.0,8.404699646292133e-05,0.0,6.097148861153983e-05,0.0001450184850744,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.4,3.2.6,8,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,0,,0.0715,51.5564,15.818809509277344,machine,52.38095238095238,0,92.06190476190476,14.563495272681829,N,1.0,0.0
2026-04-13T02:24:12,codecarbon,e825e17c-f209-493c-a54b-f6de5f1babbd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,22.1714828000404,3.292246543945424e-05,1.484901381489661e-06,12.776158210135716,0.0,10.0,7.990582132242716e-05,0.0,5.866315888900621e-05,0.0001385689802114,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.4,3.2.6,8,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,0,,0.0715,51.5564,15.818809509277344,machine,65.0,0,91.94,14.544820213317871,N,1.0,0.0
2026-04-13T02:24:46,codecarbon,f0cdf670-3df4-4da0-b62d-57eb2eb2ee5d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,23.458849699934945,3.589539328745405e-05,1.5301429416444743e-06,13.876993607775,0.0,10.0,8.877794432747233e-05,0.0,6.230393777756642e-05,0.000151081882105,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.4,3.2.6,8,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,0,,0.0715,51.5564,15.818809509277344,machine,66.66666666666667,0,91.74285714285712,14.512438274565197,N,1.0,0.0
2026-04-13T02:25:20,codecarbon,cdbeb631-5714-4d3c-8b86-69a0b445f3db,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,22.94911119993776,3.4426510882141e-05,1.5001239299513424e-06,13.1008813454625,0.0,10.0,8.408133976371254e-05,0.0,6.081809111120593e-05,0.0001448994308749,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.4,3.2.6,8,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,0,,0.0715,51.5564,15.818809509277344,machine,66.66666666666667,0,92.45714285714286,14.623261406308128,N,1.0,0.0
2026-04-13T02:25:47,codecarbon,df940399-ef91-49fe-903c-977d9cda9007,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,22.694967000046745,3.45034041743865e-05,1.5203108325434197e-06,13.57427498344286,0.0,10.0,8.515639304755889e-05,0.0,6.006667777805383e-05,0.0001452230708256,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.4,3.2.6,8,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,0,,0.0715,51.5564,15.818809509277344,machine,70.0,0,91.22,14.430883979797365,N,1.0,0.0
2026-04-13T02:26:20,codecarbon,d596552a-9115-4ada-8378-3cb7f56dd3de,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,23.13821630016901,3.460227447372338e-05,1.4954598930545322e-06,13.093509332906253,0.0,10.0,8.43572856016642e-05,0.0,6.128192527814665e-05,0.0001456392108798,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.4,3.2.6,8,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,0,,0.0715,51.5564,15.818809509277344,machine,55.84285714285714,0,90.75238095238096,14.356041862851097,N,1.0,0.0
2026-04-13T02:27:00,codecarbon,3c96313c-b2be-40e0-86bd-a281aba1b6f3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,29.412109999917448,4.548985137799343e-05,1.5466367893402109e-06,14.247502728588463,0.0,10.0,0.0001127743297609,0.0,7.869013777752925e-05,0.0001914644675384,0.0,United Kingdom,GBR,england,,,Windows-11-10.0.26100-SP0,3.12.4,3.2.6,8,Intel(R) Core(TM) i7-8665U CPU @ 1.90GHz,0,,0.0715,51.5564,15.818809509277344,machine,50.0,0,91.40384615384616,14.45813883267916,N,1.0,0.0
